Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Nathan Eovaldi,BOS,12,10,3.94,31,31,0,183,176,80,25,184,44,1.2,9.05,2.15,3.76,3.5,3.7,140.2,9132
Chris Sale,BOS,11,8,3.57,28,28,0,157,133,62,20,193,46,1.14,11.05,2.65,3.44,3.3,3.9,54.7,10603
Nick Pivetta,BOS,10,10,4.6,29,29,0,165,159,84,26,173,66,1.36,9.44,3.6,4.43,2,2.1,365.1,15454
Tanner Houck,BOS,8,7,4.05,18,46,0,125,115,56,15,134,46,1.29,9.71,3.33,3.87,1.8,2,207.1,19879
Michael Wacha,BOS,8,9,4.7,23,38,0,134,139,70,21,120,41,1.35,8.12,2.75,4.48,1.3,1.4,485.8,14078
Matt Barnes,BOS,4,3,3.59,0,66,11,66,54,26,7,86,29,1.24,11.72,3.9,3.45,0.9,0.9,277.6,12863
Garrett Whitlock,BOS,4,3,3.76,0,68,20,68,64,28,8,71,22,1.26,9.36,2.89,3.65,0.6,0.8,254.7,20191
James Paxton,BOS,3,3,4.18,8,8,0,44,41,21,6,46,15,1.28,9.45,3.04,4.08,0.6,0.8,577.3,11828
Rich Hill,BOS,6,7,5.12,19,19,0,104,109,59,18,90,39,1.43,7.8,3.39,5.01,0.5,0.8,413.9,4806
Josh Taylor,BOS,3,3,3.74,0,60,1,60,52,25,7,70,26,1.3,10.52,3.96,3.78,0.5,0.7,999,17359
Hirokazu Sawamura,BOS,3,3,4.27,0,56,0,56,51,27,7,61,28,1.41,9.75,4.44,4.23,0.2,0.3,589.6,27515
Kutter Crawford,BOS,2,2,4.28,2,24,0,31,29,15,5,33,11,1.28,9.48,3.08,4.15,0.2,0.3,999,20531
Darwinzon Hernandez,BOS,3,2,3.96,0,52,0,52,42,23,6,66,33,1.43,11.39,5.65,4.14,0.2,0.5,999,19848
Austin Davis,BOS,2,2,4.48,0,48,0,48,46,24,7,48,22,1.41,9.01,4.07,4.47,0.1,0.2,999,17117
Zachery Kelly,BOS,0,0,4.28,0,1,0,1,1,0,0,1,0,1.38,8.91,3.77,4.22,0,0,999,sa3004118
Dylan Covey,BOS,0,0,4.57,0,1,0,1,1,1,0,1,0,1.4,7.25,2.89,4.4,0,0,999,14825
Brayan Bello,BOS,0,0,4.8,0,0,0,1,1,1,0,1,0,1.43,7.75,3.52,4.61,0,0,999,sa3005436
Bryan Mata,BOS,0,0,4.85,0,0,0,1,1,1,0,1,0,1.48,7.47,3.86,4.67,0,0,999,sa917784
Brandon Walter,BOS,0,0,4.71,0,0,0,1,1,1,0,1,0,1.5,7.27,3.96,4.69,0,0,999,sa3010826
Jason Groome,BOS,0,0,4.76,0,0,0,1,1,1,0,1,0,1.44,8.02,3.73,4.71,0,0,999,sa917925
Victor Santos,BOS,0,0,5.12,0,0,0,1,1,1,0,1,0,1.43,6.49,2.78,4.94,0,0,999,sa3003083
Thaddeus Ward,BOS,0,0,5.12,0,0,0,1,1,1,0,1,0,1.52,7.8,4.36,4.97,0,0,999,sa3008098
Christopher Murphy,BOS,0,0,5.02,0,0,0,1,1,1,0,1,0,1.45,7.71,3.67,5,0,0,999,sa3011431
Joshua Winckowski,BOS,0,0,5.26,0,0,0,1,1,1,0,1,0,1.51,6.24,3.41,5.1,0,0,999,sa918379
Andrew Politi,BOS,0,0,5.41,0,0,0,1,1,1,0,1,0,1.55,7.33,4.38,5.3,0,0,999,sa3007243
Kyle Hart,BOS,0,0,5.5,0,0,0,1,1,1,0,1,0,1.54,6.4,3.84,5.49,0,0,999,19646
Franklin German,BOS,0,0,5.72,0,0,0,1,1,1,0,1,0,1.57,6.3,3.83,5.5,0,0,999,sa3007729
Chase Shugart,BOS,0,0,5.71,0,0,0,1,1,1,0,1,0,1.58,5.13,3.55,5.53,0,0,999,sa3008548
Brian Van Belle,BOS,0,0,5.84,0,0,0,1,1,1,0,1,0,1.55,5.92,3.45,5.63,0,0,999,sa3014925
Grant Gambrell,BOS,0,0,6.03,0,0,0,1,1,1,0,1,0,1.67,5.62,4.44,5.79,0,0,999,sa3011129
Yusniel Padron-Artiles,BOS,0,0,6.01,0,0,0,1,1,1,0,1,0,1.57,6.37,3.93,5.9,0,0,999,sa3008040
Chih-Jung Liu,BOS,0,0,6.27,0,0,0,1,1,1,0,1,1,1.73,5.52,4.93,6.03,0,0,999,sa3014675
Jorge Rodriguez,BOS,0,0,6.16,0,0,0,1,1,1,0,1,1,1.75,4.77,4.83,6.07,0,0,999,sa3006074
Bradley Blalock,BOS,0,0,6.28,0,0,0,1,1,1,0,1,1,1.76,5.08,5.09,6.07,0,0,999,sa3011809
Jeremy Wu-Yelland,BOS,0,0,6.17,0,0,0,1,1,1,0,1,1,1.73,6.25,5.44,6.13,0,0,999,sa3014520
Ryan Zeferjahn,BOS,0,0,6.48,0,0,0,1,1,1,0,1,1,1.75,5.33,4.91,6.21,0,0,999,sa3011217
Wilkelman Gonzalez,BOS,0,0,6.59,0,0,0,1,1,1,0,1,1,1.78,5.66,5.44,6.38,0,0,999,sa3008687
Shane Drohan,BOS,0,0,6.51,0,0,0,1,1,1,0,1,1,1.81,5.25,5.7,6.47,0,0,999,sa3014447
Luis De La Rosa,BOS,0,0,7.09,0,0,0,1,1,1,0,1,1,1.92,5.08,6.48,6.87,0,0,999,sa3009778
Jedixson Paez,BOS,0,0,6.87,0,0,0,1,1,1,0,1,1,1.92,4.74,6.5,6.88,0,0,999,sa3016264
Francis Hernandez,BOS,0,0,6.93,0,0,0,1,1,1,0,1,1,1.92,4.74,6.48,6.91,0,0,999,sa3016223
Angel Bastardo,BOS,0,0,7.33,0,0,0,1,1,1,0,0,1,1.99,4.32,6.73,7.05,0,0,999,sa3009716
Juan Encarnacion,BOS,0,0,7.36,0,0,0,1,1,1,0,1,1,1.96,4.71,6.57,7.06,0,0,999,sa3008697
Yordanny Monegro,BOS,0,0,7.13,0,0,0,1,1,1,0,1,1,2.01,4.8,7.37,7.12,0,0,999,sa3015476
Reidis Sena,BOS,0,0,7.39,0,0,0,1,1,1,0,1,1,2.05,4.74,7.51,7.14,0,0,999,sa3009626
Jose Ramirez,BOS,0,0,7.09,0,0,0,1,1,1,0,1,1,2.05,4.51,7.62,7.14,0,0,999,sa3006702
Starlin Santos,BOS,0,0,7.01,0,0,0,1,1,1,0,1,1,2.03,4.62,7.56,7.16,0,0,999,sa3016490
Jean Reyes,BOS,0,0,7.3,0,0,0,1,1,1,0,0,1,2.01,4.43,7.14,7.29,0,0,999,sa3016508
Felix Cepeda,BOS,0,0,7.95,0,0,0,1,1,1,0,0,1,2.09,4.38,7.5,7.58,0,0,999,sa3005445
John Schreiber,BOS,0,0,4.54,0,1,0,1,1,1,0,1,0,1.4,8.13,3.42,4.43,0,0,999,20020
Hector Rondon,BOS,0,0,4.87,0,1,0,1,1,1,0,1,0,1.44,7.95,3.56,4.65,0,0,999,2391
William Simpson,BOS,0,0,4.73,0,1,0,1,1,1,0,1,1,1.5,9.06,4.83,4.68,0,0,999,sa738717
